-40.0	5.0	1.0
-13.0	13.0	1.0
-75.0	75.0	5.0
0.0	0.0	-69.99937
x        y        z        Bx        By        Bz
28 -12 -75 7.37349643464e-07 9.48997113116e-06 -1.6002952337e-05
29 -12 -75 1.22700593935e-06 9.45577810277e-06 -1.5839310896e-05
30 -12 -75 1.67991902678e-06 9.37087928486e-06 -1.5618568531e-05
31 -12 -75 2.12414402689e-06 9.2963470589e-06 -1.5348202353e-05
32 -12 -75 2.5866521901e-06 9.17348788393e-06 -1.504320533e-05
33 -12 -75 2.99094579764e-06 9.03918816961e-06 -1.4669315741e-05
34 -12 -75 3.38501715016e-06 8.87859445511e-06 -1.4259645488e-05
35 -12 -75 3.75631461787e-06 8.70430387993e-06 -1.3819529879e-05
36 -12 -75 4.09912353914e-06 8.50855580332e-06 -1.332688922e-05
37 -12 -75 4.4050340642e-06 8.28856012238e-06 -1.2797912315e-05
38 -12 -75 4.68005463468e-06 8.0528899419e-06 -1.2245293846e-05
39 -12 -75 4.90777263322e-06 7.83449281087e-06 -1.1647517007e-05
40 -12 -75 5.11095224718e-06 7.56068556808e-06 -1.1036977042e-05
-40 -11 -75 4.81968528359e-06 -8.3711914354e-06 1.04399354298e-05
-39 -11 -75 4.64085881035e-06 -8.6668547788e-06 1.10137400331e-05
-38 -11 -75 4.41702545539e-06 -8.945828641e-06 1.15782358271e-05
-37 -11 -75 4.15825855655e-06 -9.2067068987e-06 1.21083524271e-05
-36 -11 -75 3.87001536529e-06 -9.4569315688e-06 1.26060707752e-05
-35 -11 -75 3.55039330025e-06 -9.6861166197e-06 1.30682131781e-05
-34 -11 -75 3.20210852029e-06 -9.8897716651e-06 1.34922600534e-05
-33 -11 -75 2.83080548632e-06 -1.0073364709e-05 1.38782927227e-05
-32 -11 -75 2.4387017839e-06 -1.0233786352e-05 1.42209967468e-05
-31 -11 -75 2.02713769037e-06 -1.0366886741e-05 1.45199655615e-05
-30 -11 -75 1.59986766034e-06 -1.0466987933e-05 1.47729281274e-05
-29 -11 -75 1.16115250091e-06 -1.0547678678e-05 1.4984785185e-05
-28 -11 -75 7.09367056243e-07 -1.0600361394e-05 1.51513705042e-05
-27 -11 -75 2.45021243737e-07 -1.0619814525e-05 1.52721782046e-05
-26 -11 -75 -2.2706654763e-07 -1.0608539832e-05 1.53469088916e-05
-25 -11 -75 -7.0545080528e-07 -1.0570047919e-05 1.53766822881e-05
-24 -11 -75 -1.1946743639e-06 -1.0503082662e-05 1.53590963784e-05
-23 -11 -75 -1.690127293e-06 -1.0397190959e-05 1.52949066345e-05
-22 -11 -75 -2.1905917862e-06 -1.0269648932e-05 1.51832623241e-05
-21 -11 -75 -2.6963677615e-06 -1.0102598029e-05 1.5023310771e-05
-20 -11 -75 -3.2076846971e-06 -9.9110298872e-06 1.481387913e-05
-19 -11 -75 -3.7218021913e-06 -9.6754257024e-06 1.45537743014e-05
-18 -11 -75 -4.2394983534e-06 -9.4184658208e-06 1.42403319793e-05
-17 -11 -75 -4.7575430379e-06 -9.1286334074e-06 1.38709996824e-05
-16 -11 -75 -5.2721894752e-06 -8.7980044752e-06 1.34489100644e-05
-15 -11 -75 -5.7828304599e-06 -8.4416131746e-06 1.29701016108e-05
-14 -11 -75 -6.2869204105e-06 -8.0489094151e-06 1.24349092951e-05
-13 -11 -75 -6.7800338592e-06 -7.6272037189e-06 1.18411666613e-05
-12 -11 -75 -7.2569690728e-06 -7.1698623127e-06 1.11902822318e-05
-11 -11 -75 -7.7144998466e-06 -6.6859163454e-06 1.04860381273e-05
-10 -11 -75 -8.1499899514e-06 -6.179598863e-06 9.72680617797e-06
-9 -11 -75 -8.5437186961e-06 -5.6329769376e-06 8.90044539305e-06
-8 -11 -75 -8.9454057039e-06 -5.0980996078e-06 8.05849372852e-06
-7 -11 -75 -9.2741031024e-06 -4.5051185183e-06 7.15902711104e-06
-6 -11 -75 -9.5748229818e-06 -3.9077706575e-06 6.21192170763e-06
-5 -11 -75 -9.8407166865e-06 -3.2717916613e-06 5.2265967028e-06
-4 -11 -75 0 0 0
-3 -11 -75 0 0 0
-2 -11 -75 0 0 0
-1 -11 -75 0 0 0
0 -11 -75 0 0 0
1 -11 -75 0 0 0
2 -11 -75 0 0 0
3 -11 -75 0 0 0
4 -11 -75 0 0 0
5 -11 -75 -9.8407166865e-06 3.2717916613e-06 -5.2265967028e-06
6 -11 -75 -9.5748229818e-06 3.90777065749e-06 -6.2119217076e-06
7 -11 -75 -9.2741031024e-06 4.50511851826e-06 -7.159027111e-06
8 -11 -75 -8.9454057039e-06 5.0980996078e-06 -8.0584937285e-06
9 -11 -75 -8.5437186961e-06 5.63297693755e-06 -8.900445393e-06
10 -11 -75 -8.1499899514e-06 6.17959886301e-06 -9.726806178e-06
11 -11 -75 -7.7144998466e-06 6.68591634538e-06 -1.0486038127e-05
12 -11 -75 -7.2569690728e-06 7.16986231274e-06 -1.1190282232e-05
13 -11 -75 -6.7800338592e-06 7.62720371889e-06 -1.1841166661e-05
14 -11 -75 -6.2869204105e-06 8.04890941513e-06 -1.2434909295e-05
15 -11 -75 -5.7828304599e-06 8.44161317462e-06 -1.2970101611e-05
16 -11 -75 -5.2721894752e-06 8.7980044752e-06 -1.3448910064e-05
17 -11 -75 -4.7575430379e-06 9.12863340736e-06 -1.3870999682e-05
18 -11 -75 -4.2394983534e-06 9.41846582081e-06 -1.4240331979e-05
19 -11 -75 -3.7218021913e-06 9.67542570244e-06 -1.4553774301e-05
20 -11 -75 -3.2076846971e-06 9.91102988723e-06 -1.481387913e-05
21 -11 -75 -2.6963677615e-06 1.01025980289e-05 -1.5023310771e-05
22 -11 -75 -2.1905917862e-06 1.02696489322e-05 -1.5183262324e-05
23 -11 -75 -1.690127293e-06 1.03971909593e-05 -1.5294906635e-05
24 -11 -75 -1.1946743639e-06 1.05030826621e-05 -1.5359096378e-05
25 -11 -75 -7.0545080528e-07 1.05700479192e-05 -1.5376682288e-05
26 -11 -75 -2.2706654763e-07 1.06085398322e-05 -1.5346908892e-05
27 -11 -75 2.45021243737e-07 1.06198145254e-05 -1.5272178205e-05
28 -11 -75 7.09367056243e-07 1.06003613944e-05 -1.5151370504e-05
29 -11 -75 1.16115250091e-06 1.05476786781e-05 -1.4984785185e-05
30 -11 -75 1.59986766034e-06 1.04669879334e-05 -1.4772928127e-05
31 -11 -75 2.02713769037e-06 1.03668867414e-05 -1.4519965561e-05
32 -11 -75 2.4387017839e-06 1.02337863524e-05 -1.4220996747e-05
